<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<OPEN>,<LAST>,<VOL>
Goltash,20010707,4001.00,4040.00,4000.00,4020.00,4001.00,4020.00,1043051
Goltash,20010708,4221.00,4221.00,4221.00,4221.00,4020.00,4221.00,2310692
Goltash,20010709,4432.00,4432.00,4432.00,4432.00,4221.00,4432.00,1497896
Goltash,20010731,4698.00,4799.00,4050.00,4678.00,4432.00,4678.00,3738218
Goltash,20010801,4664.00,4750.00,4570.00,4570.00,4678.00,4570.00,2452631
Goltash,20010804,4573.00,4574.00,4400.00,4400.00,4570.00,4400.00,2569348
Goltash,20010806,4376.00,4376.00,4213.00,4376.00,4400.00,4376.00,2779583
Goltash,20010807,4560.00,4560.00,4499.00,4520.00,4376.00,4520.00,2164885
Goltash,20010808,4521.00,4525.00,4520.00,4525.00,4520.00,4525.00,1920316
Goltash,20010811,4535.00,4600.00,4535.00,4600.00,4525.00,4600.00,1521035
Goltash,20010812,4700.00,4750.00,4650.00,4700.00,4600.00,4700.00,492347
Goltash,20010813,4702.00,4702.00,4700.00,4700.00,4700.00,4700.00,1854825
Goltash,20010814,4607.00,4607.00,4601.00,4601.00,4700.00,4601.00,2162038
Goltash,20010815,4600.00,4601.00,4500.00,4600.00,4601.00,4600.00,3267676
Goltash,20010819,4510.00,4601.00,4510.00,4601.00,4600.00,4601.00,3429675
Goltash,20010820,4597.00,4597.00,4589.00,4589.00,4601.00,4589.00,5753175
Goltash,20010821,4520.00,4520.00,4500.00,4500.00,4589.00,4500.00,4443994
Goltash,20010822,4465.00,4465.00,4460.00,4461.00,4500.00,4461.00,11776887
Goltash,20010825,4465.00,4465.00,4465.00,4465.00,4461.00,4465.00,1269418
Goltash,20010826,4490.00,4612.00,4490.00,4612.00,4465.00,4612.00,1111563
Goltash,20010827,4500.00,4600.00,4470.00,4470.00,4612.00,4470.00,16684121
Goltash,20010828,4460.00,4462.00,4460.00,4461.00,4470.00,4461.00,15505887
Goltash,20010829,4460.00,4461.00,4460.00,4460.00,4461.00,4460.00,1020049
Goltash,20010901,4460.00,4460.00,4430.00,4430.00,4460.00,4430.00,2403983
Goltash,20010902,4410.00,4410.00,4397.00,4397.00,4430.00,4397.00,4251135
Goltash,20010903,4300.00,4300.00,4280.00,4300.00,4397.00,4300.00,2035525
Goltash,20010905,4280.00,4300.00,4280.00,4300.00,4300.00,4300.00,4419898
Goltash,20010908,4300.00,4316.00,4300.00,4315.00,4300.00,4315.00,4958509
Goltash,20010909,4315.00,4315.00,4315.00,4315.00,4315.00,4315.00,3268634
Goltash,20010910,4327.00,4327.00,4326.00,4326.00,4315.00,4326.00,5967526
Goltash,20010911,4300.00,4300.00,4299.00,4300.00,4326.00,4300.00,4503551
Goltash,20010912,4252.00,4252.00,4150.00,4150.00,4300.00,4150.00,3495407
Goltash,20010915,4100.00,4100.00,4100.00,4100.00,4150.00,4100.00,2817975
Goltash,20010916,4000.00,4000.00,3950.00,3950.00,4100.00,3950.00,4385004
Goltash,20010917,3880.00,3901.00,3880.00,3880.00,3950.00,3880.00,3786075
Goltash,20010918,3756.00,3756.00,3756.00,3756.00,3880.00,3756.00,4611201
Goltash,20010919,3868.00,3899.00,3868.00,3899.00,3756.00,3899.00,2730787
Goltash,20010922,4050.00,4050.00,4050.00,4050.00,3899.00,4050.00,3546460
Goltash,20010923,4252.00,4252.00,4050.00,4050.00,4050.00,4050.00,2257880
Goltash,20010925,4077.00,4249.00,4076.00,4249.00,4050.00,4249.00,1970411
Goltash,20010930,4102.00,4102.00,4100.00,4100.00,4249.00,4100.00,3405585
Goltash,20011002,4114.00,4116.00,4114.00,4116.00,4100.00,4116.00,3141350
Goltash,20011003,4139.00,4170.00,4132.00,4170.00,4116.00,4170.00,4396198
Goltash,20011006,4170.00,4220.00,4170.00,4220.00,4170.00,4220.00,6049925
Goltash,20011007,4225.00,4253.00,4225.00,4253.00,4220.00,4253.00,1304532
Goltash,20011008,4253.00,4350.00,4248.00,4248.00,4253.00,4248.00,5089871
Goltash,20011009,4114.00,4114.00,4100.00,4100.00,4248.00,4100.00,4339703
Goltash,20011010,4000.00,4001.00,4000.00,4000.00,4100.00,4000.00,3837939
Goltash,20011013,4095.00,4095.00,4095.00,4095.00,4000.00,4095.00,3995602
Goltash,20011014,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,2898984
Goltash,20011017,4140.00,4200.00,4140.00,4200.00,4095.00,4200.00,3785802
Goltash,20011020,4200.00,4248.00,4100.00,4130.00,4200.00,4130.00,6269245
